h,s,v,r,g,b
45.915451361708726,32.663627582090584,1.5319476733357318,4,4,3
242.43487482129436,64.87773632648765,20.0904870176698,19,18,51
353.84463353494584,32.71005696254985,4.307701887838267,11,7,8
263.1947407093397,98.13414448671405,27.893566945997918,28,1,71
191.63472502464828,29.789543549806407,91.9060074904325,165,221,234
348.19787892915144,1.0723125407806622,51.894730461949635,132,131,131
192.17967533344958,7.059537509165303,37.327042454412826,88,94,95
1.620046131650641,78.39153812753598,96.63163636953513,246,58,53
47.17529548892599,31.26458941163317,9.16389198227725,23,22,16
10.406788333646988,61.67631379430241,60.635638334545305,155,76,59
103.62469039149866,61.31614507577956,50.32336221056028,71,128,50
292.25808883772,89.13639096333125,37.16906674660321,84,10,95
199.4053385404863,93.21121271219224,33.127378911451814,6,59,84
79.82569064258433,16.67166096523125,42.92576958999972,103,109,91
207.4508558724444,82.53478345665128,86.86027994130876,39,138,221
45.592486515253405,6.931628978612725,30.155964181208784,77,76,72
325.49119059781185,84.51712408404764,2.0402918501704725,5,1,3
208.00697882864768,0.70720264562667,43.39867806421538,110,110,111
32.82503220409013,95.33524305054057,51.67725863964097,132,75,6
123.22215319218196,20.589815176130454,58.213074896583386,118,148,120
241.48647489774106,24.468276105459097,73.6826253933636,143,142,188
113.73703500558894,85.06393702969717,57.87062596223773,35,148,22
86.76875497128998,14.307624413022024,21.1852708907905,51,54,46
202.6315999881043,14.985600669525612,48.071956792768276,104,116,123
331.7779422365835,30.755020431620483,26.182149225020822,67,46,56
190.91231711721522,74.43783853781669,6.2029795370134755,4,14,16
284.45073261733455,7.859845826951517,51.23403187216154,128,120,131
190.4577776832848,37.045927292272765,38.02842475329709,61,91,97
275.003208565495,10.242971238672505,92.03076554351723,225,211,235
5.656411095983618,35.931046935464785,77.1050999498828,197,133,126
11.546529914169366,12.61177520284653,76.03559896210913,194,174,169
149.8913546242388,25.950570200625144,69.8453207952271,132,178,155
67.06787462818623,30.915067485337477,60.84641809507154,150,155,107
309.7044791586333,35.28359129775465,37.58300456546455,96,62,90
355.04521048388943,66.62094556992746,14.748361502340646,38,13,15
113.08188487680437,16.066706337347902,8.202674677428789,18,21,18
149.42545768942165,96.70999796301064,91.6969754185691,8,234,119
272.72836055637055,27.353126385979177,31.14008625700928,70,58,79
183.9599497752576,10.31394112516908,50.363777845848446,115,128,128
266.50684780045276,88.77488176238779,76.54543337376943,98,22,195
229.15853004033488,85.19233484451622,20.233023390636195,8,16,52
232.60070724602485,11.222439394908923,48.04139871685462,109,110,123
356.95276797753655,38.78530378550524,22.695742800990626,58,35,37
259.72785284795975,3.2511280539636367,48.853500788579396,122,121,125
131.41635795757665,78.8435559058807,42.58269068183711,23,109,39
102.94509873654269,30.007180111913346,80.7470782877025,162,206,144
69.330830652441,65.24110704391693,42.64299841095725,98,109,38
358.80471793426915,43.73372960676873,93.08342351935902,237,134,136
186.52639245310377,37.27106049620361,53.70805950151536,86,131,137
155.4071376016004,40.62237115294853,69.8867645194541,106,178,149
280.6312258597602,5.993735430012692,38.80309062182883,97,93,99
104.65692258745068,59.09282794199795,16.466424843358162,24,42,17
121.33183845495337,42.302891954900225,95.77551960270858,141,244,143
316.42501862751766,45.89319838565573,40.09963693096152,102,55,89
3.5337887443893656,51.179446952327964,76.91037399380005,196,102,96
300.33114740938294,50.200092071496584,71.11741229367507,181,90,181
138.11231931943394,72.04285878837034,72.56267705521167,52,185,92
303.3382956899124,78.676349114522,34.35048347289123,88,19,84
20.501711396846325,5.69482339550893,80.44155645826281,205,197,193
44.966972251565196,80.13076182385599,3.9502694774252944,10,8,2
129.4846862571013,65.54573371322053,80.5054477706872,71,205,92
166.40135388275482,81.4338314831772,40.577006797632606,19,103,84
329.4778613655058,53.81262679808749,77.20794558439043,197,91,145
45.59245079576116,79.16100391977805,46.44009720769977,118,96,25
50.37302147083386,69.26246879467044,82.03912028813365,209,186,64
75.5574856045761,56.447638853291494,78.67332013597321,171,201,87
287.68397963169065,77.29892411531465,60.209564788032075,129,35,154
169.1369000799595,46.308321968058095,27.71077469456913,38,71,65
34.179121919226326,77.38256396291186,14.533312002702736,37,25,8
284.3277770436851,5.975127922039847,80.5969294489701,202,193,206
344.041990800738,58.631955816264394,15.973978988609971,41,17,23
330.06978063108903,17.672152250031647,77.51597711670254,198,163,180
35.74820337256956,47.101961404431194,15.59693532655404,40,32,21
152.25126428679675,76.92623722613097,20.153697193207254,12,51,33
156.82648705357738,91.76742083085962,3.673294742852873,1,9,6
150.69136465483297,2.4232192949748432,31.84865990640482,79,81,80
245.06436497867483,4.0813169497754265,86.34243622925821,212,211,220
7.616746224262636,61.17667549223695,15.368792035710976,39,18,15
338.9606530693147,62.59167377365233,66.51008140547232,170,63,101
7.2885254506745945,28.60068134610392,76.78386550547435,196,147,140
300.2305640496854,91.07813640269846,49.87317992170111,127,11,127
267.6316661711566,54.8471948772204,95.95248377256607,172,110,245
69.86069977962852,74.72621919502257,76.83222911775727,172,196,50
160.66147842953328,63.86271681744384,77.29969450469521,71,197,157
129.2319309516668,60.80030461365131,60.92674598396144,61,155,75
174.11276621937054,54.61229457318757,12.662792787984367,15,32,31
235.458649458687,48.76829455003651,42.916040009191626,56,60,109
329.1421043113926,44.792162425033766,42.080878427173985,107,59,84
10.659177055501265,98.90090685954868,20.42302790449828,52,10,1
82.51672197934612,11.446106917764553,98.93074134035705,241,252,223
135.8148982988006,54.393650330244284,90.48286259651847,105,231,138
142.37848401505576,30.45043871881439,95.84457928575014,170,244,198
227.16336463927055,45.27980055310521,81.17199045301571,113,133,207
218.76642811509393,74.09857450684586,99.89360160098133,66,133,255
222.15263723007908,57.258534748600496,1.9928001821729602,2,3,5
174.0700467806277,92.47215414559858,0.5353993661858514,0,1,1
18.7189450410989,67.26224869498232,49.87051328861505,127,68,42
52.73363116034557,87.13960299627423,91.4116033238763,233,209,30
293.91340204589187,80.87391362980338,60.441309574341176,141,29,154
95.56227812666152,48.68985054552528,11.87607211601951,22,30,16
9.618210104440665,4.792655914884758,14.783455454843208,38,36,36
221.6706997676654,84.07782780426405,2.2448560591705746,1,2,6
4.169272634501189,86.36084968342026,91.17596081767903,232,46,32
67.82059993303783,80.15020493629683,53.653291550478045,123,137,27
116.2102717756428,65.42769528835433,81.57618632857775,81,208,72
126.16682934741539,43.12035923375526,80.15960789801142,116,204,125
182.27305991634967,51.4323735538393,59.91920719131814,74,150,153
337.149197483365,29.666984369961156,2.069830374804371,5,4,4
30.83590325272742,74.94517048018743,72.50864433876198,185,118,46
165.1044494727081,13.48708157483891,31.40773310400087,69,80,77
10.774574147388352,29.678302115472533,19.653678594370348,50,38,35
7.023568861882525,75.70377654851694,43.57142217535521,111,37,27
177.88330002634933,8.155059669495635,67.34459673513051,158,172,171
309.5353469329272,76.46126364619423,1.7637477026315906,4,1,4
139.45220414839338,76.12351614687817,74.10952001444797,45,189,92
92.84971647857179,74.74743395197177,65.73586847603838,99,168,42
303.5746987038636,68.979531248668,78.20999546315768,199,62,191
185.2669383741613,95.36577207375076,8.015627948317627,1,19,20
185.21844652554003,58.331965070348566,49.8429709087211,53,121,127
215.16682079839796,13.537904530627598,81.12023220207192,179,190,207
268.8167450575749,96.6254528440429,25.66516424353853,33,2,65
117.34587026982813,60.313652146951966,25.05479883325563,27,64,25
56.836888940491136,55.33556079577786,1.5514210475352064,4,4,2
158.56605877380665,56.72546285495843,83.20911883711159,92,212,169
145.55778636593126,15.866857823701764,57.65052812314559,124,147,134
137.66611873533833,40.60313285754118,67.06041751814406,102,171,122
296.77297642570323,68.42194243398525,76.31325391848964,187,61,195
28.362192925602567,8.18209941805177,29.420707719805826,75,72,69
174.18262068429766,36.257848326478005,41.50000090518895,67,106,102
337.39425058253147,13.492961343312015,74.1444643544705,189,164,173
353.4819371291513,50.40152971290133,99.64752831574204,254,126,140
74.58271685730419,99.98291471718781,73.11866360302584,141,186,0
68.04658922320213,92.22339849016545,13.994653033026804,31,36,3
348.01545072064766,63.59261080577867,96.05962285427907,245,89,120
306.7793744868654,33.12973473978189,36.78500568155583,94,63,90
109.33397329376106,48.34943211625069,38.41049417796854,59,98,51
135.40626756081008,83.42487112102191,81.56187075200785,34,208,79
163.97269178106495,38.28728459897515,14.993471187941832,24,38,34
359.85353979692627,64.11893613787795,37.1493692503438,95,34,34
127.62197741164437,51.45560231140054,81.46000293776103,101,208,114
332.0538080214363,11.390257140556038,46.98309633909277,120,106,113
79.18116308569346,25.83621123524975,18.950198058093747,44,48,36
33.711798624150234,8.81319859018539,50.14502402939851,128,123,117
243.465046157592,42.94021427230861,58.671084775937324,89,85,150
252.233802223707,99.46937380542025,19.27951783326489,10,0,49
103.32566791418341,20.33210839699389,79.84835954318872,174,204,162
7.228411437071642,82.75136185165191,80.04736897378362,204,56,35
286.41506827702824,6.6797355125362445,25.822710822204755,65,61,66
56.741517251016596,63.3824318242564,15.257389014823763,39,38,14
148.13805531755892,56.26786297343376,40.821174013410925,46,104,73
198.16465767816007,58.43246524116821,70.21751674060445,74,147,179
238.6948155078663,32.52511108329013,86.15148289453576,148,150,220
102.0589439300264,1.5867287734130597,53.88845405603136,136,137,135
217.35660667774488,9.816205016033397,19.332017954749638,44,46,49
13.208696904816692,49.38601722398539,14.458350041056423,37,23,19
209.3708252226488,45.30476314771978,8.161368071509113,11,16,21
31.508174911530638,57.43176401054553,54.45413695612971,139,101,59
321.1007232975119,1.516253828545766,51.019687872761146,130,128,129
231.91034995498342,92.28220165751755,44.337357069246686,9,23,113
143.84707840081737,83.59335503690491,3.6298814207663677,2,9,5
299.7713351889833,35.466424535831685,74.82234267711783,191,123,191
344.7916354531404,72.46752494875102,87.49380080477987,223,61,102
354.02393860367846,76.72254612206247,75.72258161398346,193,45,60
281.06326438110244,76.5775176280363,21.20414777797157,41,13,54
209.05796329116032,57.09450132638278,60.658687577456185,66,112,155
269.24131864078703,36.23872463975448,37.03625371950867,77,60,94
210.8080103671902,98.00960093755972,87.39353984048806,4,111,223
222.71120756815333,34.981079642249256,73.28701028522129,122,140,187
189.65318065015214,65.6916403673557,64.09445386605066,56,146,163
98.07684825497817,44.5265194225877,59.50233589313025,109,152,84
168.64041249318322,19.24066172606713,50.74490118984416,105,129,125
70.43837535472872,10.451523602908509,35.48600320361379,89,90,81
249.26975096271002,97.37745669536093,13.284042289525644,6,1,34
139.08615277583934,67.48403933966162,1.4367089145316259,1,4,2
119.88126687673446,0.011011159981832996,33.47610647975037,85,85,85
330.92380586389896,52.6994473344847,81.8710062266591,209,99,152
52.42524629085679,99.2773565541881,30.797809781053598,79,69,1
352.25779755469034,30.343334508683938,34.52620537053521,88,61,65
316.4449402833751,58.37230635806727,4.686543763293405,12,5,10
231.14375146643184,65.07555457112434,54.43169492377855,48,62,139
270.3473089316993,18.380999234403728,32.868264166656736,76,68,84
302.68466744549613,63.74444235749801,73.4860277982403,187,68,182
332.4715516292262,49.03550485051114,74.2681120438646,189,97,139
74.97205713356558,56.24337987466785,41.69809901307471,91,106,47
339.7199264028743,10.951138919259762,14.616179616454584,37,33,35
58.55911869832943,9.405259322925508,44.64647343204986,114,114,103
271.878231569062,50.05460121261063,7.11911501355047,14,9,18
347.4625655854319,81.97306291154175,92.88704438817012,237,43,83
115.39799421932602,94.79301634543621,98.23372789954745,31,250,13
28.753492645959746,36.10048638612626,67.52160309750548,172,140,110
54.746038669333394,38.94243422450887,53.95108369595405,138,133,84
292.74527303882365,54.23302961057037,51.30967236791315,122,60,131
242.86815986920664,97.44450951265387,24.777808042788195,5,2,63
138.7209075507992,57.25695570633207,13.894175820597109,15,35,21
14.857229981239302,20.966693072367892,53.19395489299043,136,114,107
35.90895431485353,97.65302717779996,65.09533244986787,166,101,4
269.364592517559,77.58242970303004,85.18330097350517,131,49,217
37.2819751820991,43.84889793531648,7.318845344360203,19,16,10
91.25494084978351,19.724607167069806,18.367877693842892,42,47,38
340.71216794249335,33.35346344558394,92.25762444034471,235,157,182
28.280115352991373,94.64986568363474,63.5341436791093,162,81,9
75.065997499411,46.733523688548374,13.228322617457543,30,34,18
35.904331777810626,76.8874162660991,8.403068128036262,21,15,5
192.6815797406555,41.664576311497385,32.789081005098765,49,76,84
201.94809183483588,90.44349996985666,75.64674098217353,18,129,193
255.3418655071763,16.726910749767598,18.919947865609153,42,40,48
146.5956349152181,10.351608715052585,5.490014384930886,13,14,13
