r,g,b,h,s,v
48,219,56,123,78,86
9,212,6,119,97,83
222,92,183,318,59,87
188,2,115,324,99,74
254,45,170,324,82,100
16,229,22,122,93,90
110,161,69,93,57,63
49,202,145,158,76,79
16,179,17,120,91,70
198,45,16,10,92,78
219,64,80,354,71,86
243,32,90,344,87,95
200,164,58,45,71,78
151,178,103,82,42,70
74,189,62,114,67,74
96,28,188,266,85,74
242,218,210,15,13,95
173,248,27,80,89,97
119,84,19,39,84,47
182,63,3,20,98,71
68,5,137,269,96,54
194,3,181,304,98,76
211,241,80,71,67,95
196,95,251,279,62,98
100,185,254,207,61,100
241,180,16,44,93,95
28,104,165,207,83,65
8,137,171,193,95,67
101,65,30,30,70,40
68,47,12,38,82,27
39,30,213,243,86,84
204,132,54,31,74,80
52,88,205,226,75,80
144,9,23,354,94,56
20,92,215,218,91,84
117,76,115,303,35,46
13,250,0,117,100,98
174,216,14,72,94,85
23,176,20,119,89,69
66,139,214,210,69,84
36,67,220,230,84,86
106,115,62,70,46,45
204,52,234,290,78,92
122,12,142,291,92,56
17,226,113,148,92,89
142,38,135,304,73,56
248,240,159,55,36,97
22,132,30,124,83,52
211,47,59,356,78,83
145,24,211,279,89,83
48,72,189,230,75,74
20,210,152,162,90,82
162,92,98,355,43,64
74,25,45,336,66,29
128,213,156,140,40,84
108,252,22,98,91,99
201,77,197,302,62,79
224,164,14,43,94,88
120,58,175,272,67,69
193,206,106,68,49,81
217,133,6,36,97,85
109,252,125,127,57,99
177,233,197,141,24,91
252,108,179,330,57,99
149,105,159,289,34,62
2,91,24,135,98,36
23,63,52,163,63,25
28,86,217,222,87,85
159,160,252,239,37,99
216,27,149,321,88,85
184,53,165,309,71,72
156,45,221,278,80,87
146,32,238,273,87,93
166,212,164,118,23,83
223,73,122,340,67,87
119,38,167,278,77,65
72,157,233,208,69,91
72,249,1,103,100,98
135,141,120,77,15,55
160,116,207,269,44,81
231,202,196,10,15,91
191,39,143,319,80,75
112,209,119,124,46,82
134,129,79,55,41,53
209,198,102,54,51,82
70,88,111,214,37,44
87,95,24,67,75,37
31,186,65,133,83,73
85,106,235,232,64,92
134,184,137,124,27,72
77,181,213,194,64,84
28,80,235,225,88,92
134,120,66,48,51,53
118,90,243,251,63,95
117,24,95,314,79,46
30,215,30,120,86,84
208,31,210,299,85,82
163,236,15,80,94,93
58,160,3,99,98,63
140,247,191,149,43,97
242,75,80,358,69,95
71,224,121,140,68,88
223,150,107,22,52,87
74,153,70,117,54,60
123,117,55,55,55,48
214,158,23,42,89,84
215,139,28,36,87,84
191,30,4,8,98,75
10,204,6,119,97,80
2,212,165,167,99,83
93,184,125,141,49,72
21,153,36,127,86,60
165,231,231,180,29,91
56,108,251,224,78,98
103,106,132,234,22,52
149,7,200,284,97,78
226,138,249,288,45,98
48,92,139,211,65,55
159,114,131,337,28,62
79,84,98,224,19,38
184,181,158,53,14,72
141,124,102,34,28,55
35,209,243,190,86,95
156,162,156,120,4,64
213,51,50,0,77,84
173,22,60,345,87,68
1,77,177,214,99,69
123,90,73,20,41,48
159,99,193,278,49,76
133,168,28,75,83,66
139,240,69,95,71,94
101,240,190,158,58,94
